anatoly,fin_literacy_self_ratings,1,3,3,2,4,1,3,3
anatoly,fin_literacy_self_ratings,1,3,3,2,4,1,3,3
ben123123,fin_literacy_self_ratings,2,3,3,1,3,4,2,3
Lena,fin_literacy_self_ratings,3,3,4,1,3,2,2,2
anatoly1,fin_literacy_self_ratings,3,1,3,2,1,1,2,2
abc,fin_literacy_self_ratings,4,2,3,4,1,2,2,2
.,fin_literacy_self_ratings,1,2,2,2,3,2,2,2
Tol,fin_literacy_self_ratings,1,1,1,1,1,1,3,1
fdf,fin_literacy_self_ratings,1,1,1,1,1,1,1,1
rere,fin_literacy_self_ratings,1,2,1,2,1,3,3,1
rere,fin_literacy_self_ratings,1,2,1,2,1,3,3,1
rerer,fin_literacy_self_ratings,1,2,1,1,2,1,2,1
Bengor,fin_literacy_self_ratings,1,3,1,3,3,3,3,3
Bengor,fin_literacy_self_ratings,3,3,2,2,3,4,3,2
Bengor,fin_literacy_self_ratings,3,3,3,1,2,1,2,4
Bengor,fin_literacy_self_ratings,3,3,3,1,2,1,2,4
Bengor,fin_literacy_self_ratings,3,3,3,1,2,1,2,4
Bengor,fin_literacy_self_ratings,3,3,3,1,2,1,2,4
Bengor,fin_literacy_self_ratings,3,3,2,3,3,4,1,2
rerer,fin_literacy_self_ratings,1,1,2,2,1,1,2,1
vova,fin_literacy_self_ratings,1,1,3,2,1,4,1,2
